Date;Text;Amount;Balance;Reconciled;Kontonummer;Accountname;Maincategory;Category;Comment
19.04.2024;VD;-300.00;25478.07;;12311111;Emerald Bank;Transportation;Taxis and public transportation;""
19.04.2024;VD, VERI CE;-181.90;25778.07;;12311111;Emerald Bank;Food;Groceries;""
15.04.2024;VD;-467.75;25959.97;;12311111;Emerald Bank;Food;Groceries;""
15.04.2024;VD;-64.95;26427.72;;12311111;Emerald Bank;Food;Groceries;""
15.04.2024;VD;-39.00;26492.67;;12311111;Emerald Bank;Leisure;Café, restaurant and bar;""
15.04.2024;VD;-166.90;26531.67;;12311111;Emerald Bank;Food;Groceries;""
15.04.2024;VD;-135.95;26698.57;;12311111;Emerald Bank;Clothing and pers. care prod.;Dentist, doctor and medication;""
15.04.2024;VDLAUNDRY;-15.25;26834.52;;12311111;Emerald Bank;Home;Cleaning and gardening help, etc.;""
15.04.2024;VDLAUNDRY;-15.25;26849.77;;12311111;Emerald Bank;Home;Cleaning and gardening help, etc.;""
15.04.2024;VD;-12.00;26865.02;;12311111;Emerald Bank;Food;Groceries;""
12.04.2024;OVmessage.;15910.00;26877.02;;12311111;Emerald Bank;Income;Pay, benefits and pension;""
